"TIME","REF"
"s","null"
0.0000000,-0.072145
0.0002500,0.057630
0.0005000,-0.004554
0.0007500,-0.120159
0.0010000,2.273675
0.0012500,3.969801
0.0015000,3.566137
0.0017500,3.722939
0.0020000,3.685685
0.0022500,3.637162
0.0025000,3.709441
0.0027500,3.622380
0.0030000,3.683180
0.0032500,3.637003
0.0035000,3.647409
0.0037500,3.645707
0.0040000,3.626163
0.0042500,3.638300
0.0045000,3.618674
0.0047500,3.622257
0.0050000,3.613908
0.0052500,3.608365
0.0055000,3.605569
0.0057500,3.597974
0.0060000,3.594712
0.0062500,3.588752
0.0065000,3.583779
0.0067500,3.578679
0.0070000,3.572845
0.0072500,3.567447
0.0075000,3.562090
0.0077500,3.557210
0.0080000,3.552565
0.0082500,3.547761
0.0085000,3.542786
0.0087500,3.537745
0.0090000,3.532690
0.0092500,3.527717
0.0095000,3.522904
0.0097500,3.518071
0.0100000,3.513264
0.0102500,3.508316
0.0105000,3.503407
0.0107500,3.498537
0.0110000,3.493621
0.0112500,3.489167
0.0115000,3.484324
0.0117500,3.479223
0.0120000,3.474613
0.0122500,3.469712
0.0125000,3.465000
0.0127500,3.460318
0.0130000,3.455248
0.0132500,3.450694
0.0135000,3.446065
0.0137500,3.441284
0.0140000,3.436689
0.0142500,3.431891
0.0145000,3.427234
0.0147500,3.422525
0.0150000,3.417642
0.0152500,3.412859
0.0155000,3.407867
0.0157500,3.402961
0.0160000,3.398404
0.0162500,3.394011
0.0165000,3.389732
0.0167500,3.385024
0.0170000,3.380275
0.0172500,3.375749
0.0175000,3.370919
0.0177500,3.366236
0.0180000,3.361805
0.0182500,3.357413
0.0185000,3.352797
0.0187500,3.348144
0.0190000,3.343661
0.0192500,3.338983
0.0195000,3.334672
0.0197500,3.330366
0.0200000,3.325555
0.0202500,3.321025
0.0205000,3.316664
0.0207500,3.312135
0.0210000,3.307639
0.0212500,3.303164
0.0215000,3.298750
0.0217500,3.294443
0.0220000,3.290008
0.0222500,3.285606
0.0225000,3.281152
0.0227500,3.276614
0.0230000,3.272355
0.0232500,3.267770
0.0235000,3.263158
0.0237500,3.258715
0.0240000,3.253916
0.0242500,3.249481
0.0245000,3.245402
0.0247500,3.241273
0.0250000,3.237258
0.0252500,3.233539
0.0255000,3.228864
0.0257500,3.224285
0.0260000,3.221098
0.0262500,3.214714
0.0265000,3.212974
0.0267500,3.207137
0.0270000,3.201580
0.0272500,3.202904
0.0275000,3.187806
0.0277500,3.198319
0.0280000,3.179726
0.0282500,3.183172
0.0285000,3.185364
0.0287500,3.153749
0.0290000,3.200179
0.0292500,3.127360
0.0295000,3.195556
0.0297500,3.137822
0.0300000,3.144892
0.0302500,3.258221
0.0305000,3.022821
0.0307500,3.475619
0.0310000,2.127637
0.0312500,-0.520940
0.0315000,-0.635648
0.0317500,-0.466587
0.0320000,-0.654180
0.0322500,-0.486734
0.0325000,-0.607673
0.0327500,-0.537224
0.0330000,-0.558725
0.0332500,-0.569919
0.0335000,-0.538346
0.0337500,-0.572490
0.0340000,-0.542543
0.0342500,-0.559906
0.0345000,-0.552012
0.0347500,-0.549842
0.0350000,-0.554737
0.0352500,-0.547400
0.0355000,-0.551525
0.0357500,-0.548095
0.0360000,-0.547878
0.0362500,-0.547631
0.0365000,-0.545940
0.0367500,-0.545782
0.0370000,-0.544439
0.0372500,-0.543152
0.0375000,-0.542213
0.0377500,-0.541448
0.0380000,-0.540651
0.0382500,-0.539826
0.0385000,-0.539113
0.0387500,-0.538190
0.0390000,-0.537487
0.0392500,-0.536732
0.0395000,-0.535844
0.0397500,-0.535205
0.0400000,-0.534311
0.0402500,-0.533594
0.0405000,-0.532782
0.0407500,-0.531941
0.0410000,-0.531350
0.0412500,-0.530331
0.0415000,-0.529760
0.0417500,-0.528994
0.0420000,-0.528018
0.0422500,-0.527537
0.0425000,-0.526539
0.0427500,-0.525865
0.0430000,-0.525219
0.0432500,-0.524241
0.0435000,-0.523686
0.0437500,-0.522855
0.0440000,-0.522058
0.0442500,-0.521379
0.0445000,-0.520584
0.0447500,-0.519845
0.0450000,-0.519086
0.0452500,-0.518394
0.0455000,-0.517583
0.0457500,-0.516920
0.0460000,-0.516150
0.0462500,-0.515360
0.0465000,-0.514731
0.0467500,-0.513858
0.0470000,-0.513244
0.0472500,-0.512498
0.0475000,-0.511692
0.0477500,-0.511104
0.0480000,-0.510245
0.0482500,-0.509545
0.0485000,-0.508860
0.0487500,-0.508088
0.0490000,-0.507385
0.0492500,-0.506654
0.0495000,-0.505907
0.0497500,-0.505207
0.0500000,-0.504547
0.0502500,-0.503752
0.0505000,-0.503121
0.0507500,-0.502341
0.0510000,-0.501634
0.0512500,-0.500964
0.0515000,-0.500173
0.0517500,-0.499601
0.0520000,-0.498749
0.0522500,-0.498114
0.0525000,-0.497433
0.0527500,-0.496634
0.0530000,-0.496064
0.0532500,-0.495290
0.0535000,-0.494590
0.0537500,-0.493941
0.0540000,-0.493224
0.0542500,-0.492506
0.0545000,-0.491800
0.0547500,-0.491108
0.0550000,-0.490497
0.0552500,-0.489714
0.0555000,-0.489050
0.0557500,-0.488436
0.0560000,-0.487588
0.0562500,-0.487027
0.0565000,-0.486321
0.0567500,-0.485585
0.0570000,-0.484961
0.0572500,-0.484241
0.0575000,-0.483560
0.0577500,-0.482915
0.0580000,-0.482250
0.0582500,-0.481500
0.0585000,-0.480903
0.0587500,-0.480202
0.0590000,-0.479511
0.0592500,-0.478889
0.0595000,-0.478159
0.0597500,-0.477530
0.0600000,-0.476807
0.0602500,-0.476151
0.0605000,-0.475497
0.0607500,-0.474791
0.0610000,-0.474203
0.0612500,-0.473485
0.0615000,-0.472859
0.0617500,-0.472207
0.0620000,-0.471499
0.0622500,-0.470896
0.0625000,-0.470178
0.0627500,-0.469577
0.0630000,-0.468833
0.0632500,-0.468228
0.0635000,-0.467629
0.0637500,-0.466846
0.0640000,-0.466323
0.0642500,-0.465574
0.0645000,-0.465003
0.0647500,-0.464324
0.0650000,-0.463603
0.0652500,-0.463143
0.0655000,-0.462341
0.0657500,-0.461707
0.0660000,-0.461097
0.0662500,-0.460426
0.0665000,-0.459817
0.0667500,-0.459155
0.0670000,-0.458547
0.0672500,-0.457866
0.0675000,-0.457231
0.0677500,-0.456616
0.0680000,-0.455960
0.0682500,-0.455359
0.0685000,-0.454669
0.0687500,-0.454080
0.0690000,-0.453448
0.0692500,-0.452712
0.0695000,-0.452237
0.0697500,-0.451501
0.0700000,-0.450871
0.0702500,-0.450367
0.0705000,-0.449603
0.0707500,-0.449061
0.0710000,-0.448397
0.0712500,-0.447794
0.0715000,-0.447188
0.0717500,-0.446511
0.0720000,-0.445969
0.0722500,-0.445221
0.0725000,-0.444712
0.0727500,-0.444086
0.0730000,-0.443386
0.0732500,-0.442888
0.0735000,-0.442154
0.0737500,-0.441635
0.0740000,-0.440969
0.0742500,-0.440294
0.0745000,-0.439853
0.0747500,-0.439079
0.0750000,-0.438552
0.0752500,-0.437972
0.0755000,-0.437234
0.0757500,-0.436766
0.0760000,-0.436087
0.0762500,-0.435464
0.0765000,-0.434929
0.0767500,-0.434267
0.0770000,-0.433676
0.0772500,-0.433109
0.0775000,-0.432482
0.0777500,-0.431894
0.0780000,-0.431318
0.0782500,-0.430673
0.0785000,-0.430118
0.0787500,-0.429479
0.0790000,-0.428926
0.0792500,-0.428334
0.0795000,-0.427707
0.0797500,-0.427182
0.0800000,-0.426482
0.0802500,-0.425982
0.0805000,-0.425377
0.0807500,-0.424738
0.0810000,-0.424225
0.0812500,-0.423576
0.0815000,-0.423042
0.0817500,-0.422437
0.0820000,-0.421802
0.0822500,-0.421258
0.0825000,-0.420638
0.0827500,-0.420043
0.0830000,-0.419520
0.0832500,-0.418924
0.0835000,-0.418348
0.0837500,-0.417770
0.0840000,-0.417173
0.0842500,-0.416623
0.0845000,-0.416022
0.0847500,-0.415467
0.0850000,-0.414923
0.0852500,-0.414265
0.0855000,-0.413725
0.0857500,-0.413206
0.0860000,-0.412535
0.0862500,-0.412071
0.0865000,-0.411453
0.0867500,-0.410810
0.0870000,-0.410384
0.0872500,-0.409713
0.0875000,-0.409195
0.0877500,-0.408674
0.0880000,-0.408016
0.0882500,-0.407520
0.0885000,-0.406978
0.0887500,-0.406329
0.0890000,-0.405799
0.0892500,-0.405283
0.0895000,-0.404605
0.0897500,-0.404152
0.0900000,-0.403583
0.0902500,-0.402929
0.0905000,-0.402494
0.0907500,-0.401824
0.0910000,-0.401305
0.0912500,-0.400896
0.0915000,-0.400130
0.0917500,-0.399635
0.0920000,-0.399213
0.0922500,-0.398449
0.0925000,-0.398038
0.0927500,-0.397538
0.0930000,-0.396840
0.0932500,-0.396442
0.0935000,-0.395822
0.0937500,-0.395279
0.0940000,-0.394765
0.0942500,-0.394139
0.0945000,-0.393702
0.0947500,-0.393109
0.0950000,-0.392540
0.0952500,-0.392068
0.0955000,-0.391509
0.0957500,-0.390929
0.0960000,-0.390427
0.0962500,-0.389914
0.0965000,-0.389292
0.0967500,-0.388788
0.0970000,-0.388328
0.0972500,-0.387681
0.0975000,-0.387221
0.0977500,-0.386692
0.0980000,-0.386070
0.0982500,-0.385673
0.0985000,-0.385013
0.0987500,-0.384519
0.0990000,-0.384017
0.0992500,-0.383416
0.0995000,-0.382982
0.0997500,-0.382385
0.1000000,-0.381892
0.1002500,-0.381402
0.1005000,-0.380810
0.1007500,-0.380308
0.1010000,-0.379825
0.1012500,-0.379228
0.1015000,-0.378785
0.1017500,-0.378239
0.1020000,-0.377663
0.1022500,-0.377246
0.1025000,-0.376588
0.1027500,-0.376159
0.1030000,-0.375657
0.1032500,-0.375088
0.1035000,-0.374643
0.1037500,-0.374036
0.1040000,-0.373643
0.1042500,-0.373017
0.1045000,-0.372513
0.1047500,-0.372171
0.1050000,-0.371380
0.1052500,-0.371043
0.1055000,-0.370545
0.1057500,-0.369912
0.1060000,-0.369598
0.1062500,-0.368887
0.1065000,-0.368493
0.1067500,-0.367947
0.1070000,-0.367369
0.1072500,-0.367044
0.1075000,-0.366340
0.1077500,-0.365962
0.1080000,-0.365429
0.1082500,-0.364857
0.1085000,-0.364524
0.1087500,-0.363876
0.1090000,-0.363387
0.1092500,-0.362942
0.1095000,-0.362404
0.1097500,-0.361915
0.1100000,-0.361407
0.1102500,-0.360968
0.1105000,-0.360424
0.1107500,-0.359922
0.1110000,-0.359469
0.1112500,-0.358952
0.1115000,-0.358454
0.1117500,-0.357946
0.1120000,-0.357490
0.1122500,-0.356959
0.1125000,-0.356518
0.1127500,-0.356001
0.1130000,-0.355464
0.1132500,-0.355084
0.1135000,-0.354523
0.1137500,-0.354066
0.1140000,-0.353570
0.1142500,-0.353081
0.1145000,-0.352638
0.1147500,-0.352070
0.1150000,-0.351667
0.1152500,-0.351094
0.1155000,-0.350636
0.1157500,-0.350216
0.1160000,-0.349660
0.1162500,-0.349284
0.1165000,-0.348725
0.1167500,-0.348278
0.1170000,-0.347764
0.1172500,-0.347317
0.1175000,-0.346842
0.1177500,-0.346304
0.1180000,-0.345959
0.1182500,-0.345334
0.1185000,-0.344967
0.1187500,-0.344406
0.1190000,-0.343985
0.1192500,-0.343588
0.1195000,-0.342957
0.1197500,-0.342679
0.1200000,-0.342029
0.1202500,-0.341667
0.1205000,-0.341177
0.1207500,-0.340661
0.1210000,-0.340296
0.1212500,-0.339680
0.1215000,-0.339418
0.1217500,-0.338741
0.1220000,-0.338370
0.1222500,-0.337955
0.1225000,-0.337352
0.1227500,-0.337092
0.1230000,-0.336392
0.1232500,-0.336095
0.1235000,-0.335586
0.1237500,-0.335025
0.1240000,-0.334756
0.1242500,-0.334140
0.1245000,-0.333787
0.1247500,-0.333269
